bismil بِسْمِ
sarObIluhumm سَرَابِيلُهُمْ
qopirOniww قَطِرَانٍ
watagXA وَتَغْشَىٰ
wujUhahumun وُجُوهَهُمُ
liyaJziyaL لِيَجْزِيَ
balAgul بَلَاغٌ
waliyuNcarU وَلِيُنْذَرُوا
waliyaElamUU وَلِيَعْلَمُوا
waliyaccakkaro وَلِيَذَّكَّرَ
waqureAnimm وَقُرْآنٍ
rubamA رُبَمَا
yaekulU يَأْكُلُوا
wayatamattaEU وَيَتَمَتَّعُوا
wayulhihimul وَيُلْهِهِمُ
eamalu الْأَمَلُ
walahA وَلَهَا
maElUm مَعْلُومٌ
tasbiqu تَسْبِقُ
eajalahA أَجَلَهَا
yastaexirUn يَسْتَأْخِرُونَ
EalYhic عَلَيْهِ
cikru الذِّكْرُ
lamaJnUn لَمَجْنُونٌ
taetInA تَأْتِينَا
bilmalAAeikati بِالْمَلَائِكَةِ
nunazzilul نُنَزِّلُ
muNZorIn مُنْظَرِينَ
nazzalnAc نَزَّلْنَا
cikro الذِّكْرَ
XiyaEil شِيَعِ
yaetIhimm يَأْتِيهِمْ
naslukuhU نَسْلُكُهُ
sunnatul سُنَّةُ
bAbamm بَابًا
faZollU فَظَلُّوا
yaErujUn يَعْرُجُونَ
laqOlUU لَقَالُوا
sukkirot سُكِّرَتْ
eaBSOrunA أَبْصَارُنَا
masHUrUn مَسْحُورُونَ
burUjaww بُرُوجًا
wazayyannAhA وَزَيَّنَّاهَا
waHafiZnAhA وَحَفِظْنَاهَا
XYpOnir شَيْطَانٍ
rojIm رَجِيمٍ
staroqos اسْتَرَقَ
faeatbaEahU فَأَتْبَعَهُ
XihAbumm شِهَابٌ
madaDnAhA مَدَدْنَاهَا
waeammmbatnA وَأَنْبَتْنَا
mWzUn مَوْزُونٍ
birOziqIn بِرَازِقِينَ
xozAAeinuhU خَزَائِنُهُ
nunazziluhUU نُنَزِّلُهُ
biqodarimm بِقَدَرٍ
maElUm مَعْلُومٍ
waearsalnAr وَأَرْسَلْنَا
lawAqiHa لَوَاقِحَ
faeasqVnAkumUhu فَأَسْقَيْنَاكُمُوهُ
bixOzinIn بِخَازِنِينَ
lanaHnu لَنَحْنُ
nuHyI نُحْيِي
wanumItu وَنُمِيتُ
wanaHnul وَنَحْنُ
wArivUn الْوَارِثُونَ
EalimnAl عَلِمْنَا
mustaqdimIna الْمُسْتَقْدِمِينَ
mustaexirIn الْمُسْتَأْخِرِينَ
xolaQnAl خَلَقْنَا
SolSOlimm صَلْصَالٍ
Hamaeimm حَمَإٍ
masnUn مَسْنُونٍ
waljAAAnna وَالْجَانَّ
xolaQnAhu خَلَقْنَاهُ
nAris نَارِ
samUm السَّمُومِ
xOliqummm خَالِقٌ
sawwYtuhU سَوَّيْتُهُ
wanafaxtu وَنَفَخْتُ
rUHI رُوحِي
faqoEU فَقَعُوا
fasajadal فَسَجَدَ
eaJmaEUn أَجْمَعُونَ
eabAA أَبَىٰ
maEas مَعَ
yAAeiBlIsu يَاإِبْلِيسُ
eakul أَكُنْ
lieasjuda لِأَسْجُدَ
xolaQtahU خَلَقْتَهُ
rojIm رَجِيمٌ
laEnata اللَّعْنَةَ
faeaNZirnII فَأَنْظِرْنِي
waQtil الْوَقْتِ
maElUm الْمَعْلُومِ
laeuzayyinanna لَأُزَيِّنَنَّ
walaeugwiyannahum وَلَأُغْوِيَنَّهُمْ
EibAdaka عِبَادَكَ
SirOpun صِرَاطٌ
sulpOnun سُلْطَانٌ
lamWEiduhum لَمَوْعِدُهُمْ
saBEatu سَبْعَةُ
eaBwAbil أَبْوَابٍ
bAbimm بَابٍ
juzeumm جُزْءٌ
maQsUm مَقْسُومٌ
muttaqIna الْمُتَّقِينَ
jannAtiww جَنَّاتٍ
waEuyUn وَعُيُونٍ
euDxulUhA ادْخُلُوهَا
bisalAmin بِسَلَامٍ
gillin غِلٍّ
eixwAnan إِخْوَانًا
sururimm سُرُرٍ
mutaqObilIn مُتَقَابِلِينَ
yamassuhum يَمَسُّهُمْ
bimuxrojIn بِمُخْرَجِينَ
nabbie نَبِّئْ
EibAdII عِبَادِي
eanAl أَنَا
EacAbul الْعَذَابُ
ealIm الْأَلِيمُ
wanabbiehum وَنَبِّئْهُمْ
MVfi ضَيْفِ
eiBrOhIm إِبْرَاهِيمَ
wajilUn وَجِلُونَ
tWjal تَوْجَلْ
nubaXXiruka نُبَشِّرُكَ
bigulAmin بِغُلَامٍ
eabaXXartumUnI أَبَشَّرْتُمُونِي
massaniyal مَسَّنِيَ
fabima فَبِمَ
tubaXXirUn تُبَشِّرُونَ
baXXarnAka بَشَّرْنَاكَ
qOnipIn الْقَانِطِينَ
yaQnapu يَقْنَطُ
xopbukum خَطْبُكُمْ
eayyuhAl أَيُّهَا
mursalUn الْمُرْسَلُونَ
lUpin لُوطٍ
lamunajjUhum لَمُنَجُّوهُمْ
qoddarnAA قَدَّرْنَا
lUpinl لُوطٍ
muNkarUn مُنْكَرُونَ
jienAka جِئْنَاكَ
yamtarUn يَمْتَرُونَ
waeatYnAka وَأَتَيْنَاكَ
eadbArohum أَدْبَارَهُمْ
eaHaduww أَحَدٌ
wamMU وَامْضُوا
waqoMVnAA وَقَضَيْنَا
dAbiro دَابِرَ
maqpUEumm مَقْطُوعٌ
muSbiHIn مُصْبِحِينَ
MVfI ضَيْفِي
tafMoHUn تَفْضَحُونِ
tuxzUn تُخْزُونِ
nanhaka نَنْهَكَ
banAtII بَنَاتِي
laEamruka لَعَمْرُكَ
sakrotihim سَكْرَتِهِمْ
muXriqIn مُشْرِقِينَ
fajaEalnA فَجَعَلْنَا
sijjIl سِجِّيلٍ
lilmutawassimIn لِلْمُتَوَسِّمِينَ
labisabIlimm لَبِسَبِيلٍ
muqIm مُقِيمٍ
eYkati الْأَيْكَةِ
laZOlimIn لَظَالِمِينَ
waeinnahumA وَإِنَّهُمَا
labieimAmimm لَبِإِمَامٍ
eaSHAbu أَصْحَابُ
lHiJril الْحِجْرِ
waeAtYnAhum وَآتَيْنَاهُمْ
fakAnU فَكَانُوا
yanHitUna يَنْحِتُونَ
jibAli الْجِبَالِ
buyUtan بُيُوتًا
xolaQnAs خَلَقْنَا
waeinnas وَإِنَّ
sAEata السَّاعَةَ
laeAtiyatuN لَآتِيَةٌ
faSfaHiS فَاصْفَحِ
SofHal الصَّفْحَ
jamIl الْجَمِيلَ
xollAqul الْخَلَّاقُ
eAtYnAka آتَيْنَاكَ
saBEamm سَبْعًا
mavAnI الْمَثَانِي
walqureAnal وَالْقُرْآنَ
EaZIm الْعَظِيمَ
tamuddanna تَمُدَّنَّ
EYnYka عَيْنَيْكَ
mattaEnA مَتَّعْنَا
eazwAjamm أَزْوَاجًا
waxfiM وَاخْفِضْ
janAHaka جَنَاحَكَ
eanAn أَنَا
nacIrul النَّذِيرُ
muQtasimIn الْمُقْتَسِمِينَ
jaEalUl جَعَلُوا
EiMIn عِضِينَ
fawarobbika فَوَرَبِّكَ
lanasealannahum لَنَسْأَلَنَّهُمْ
faSdaE فَاصْدَعْ
tuemaru تُؤْمَرُ
kafYnAkal كَفَيْنَاكَ
mustahzieIn الْمُسْتَهْزِئِينَ
eilAhan إِلَٰهًا
eAxoro آخَرَ
eannaka أَنَّكَ
yaMIqu يَضِيقُ
yaqUlUn يَقُولُونَ
fasabbiH فَسَبِّحْ
biHamdi بِحَمْدِ
waEbuD وَاعْبُدْ
yaetiyakal يَأْتِيَكَ
yaqIn الْيَقِينُ
eatAA أَتَىٰ
tastaEjilUhu تَسْتَعْجِلُوهُ
yunazzilul يُنَزِّلُ
birrUHi بِالرُّوحِ
EibAdihII عِبَادِهِ
eaNcirUU أَنْذِرُوا
taEAlA تَعَالَىٰ
nuPfatiN نُطْفَةٍ
xoSImumm خَصِيمٌ
waleanEAma وَالْأَنْعَامَ
xolaqohA خَلَقَهَا
difeuww دِفْءٌ
jamAlun جَمَالٌ
turIHUna تُرِيحُونَ
waHIna وَحِينَ
tasroHUn تَسْرَحُونَ
wataHmilu وَتَحْمِلُ
eavqOlakum أَثْقَالَكُمْ
baladil بَلَدٍ
bAligIhi بَالِغِيهِ
biXiqqil بِشِقِّ
eaNfusi الْأَنْفُسِ
walxVla وَالْخَيْلَ
walbigOla وَالْبِغَالَ
walHamIro وَالْحَمِيرَ
litarkabUhA لِتَرْكَبُوهَا
wazInataww وَزِينَةً
wayaxluqu وَيَخْلُقُ
qoSdus قَصْدُ
jAAeiruww جَائِرٌ
XarObuww شَرَابٌ
waminhu وَمِنْهُ
XajaruN شَجَرٌ
tusImUn تُسِيمُونَ
yummmbitu يُنْبِتُ
bihiz بِهِ
zarEa الزَّرْعَ
wannaxIla وَالنَّخِيلَ
waleaEnAba وَالْأَعْنَابَ
wannujUmu وَالنُّجُومُ
musaxxorOtummm مُسَخَّرَاتٌ
ealwAnuhUU أَلْوَانُهُ
saxxorol سَخَّرَ
poriyyaww طَرِيًّا
watastaxrijU وَتَسْتَخْرِجُوا
HilyataN حِلْيَةً
talbasUnahA تَلْبَسُونَهَا
mawAxiro مَوَاخِرَ
walitaBtagU وَلِتَبْتَغُوا
waealqO وَأَلْقَىٰ
tamIda تَمِيدَ
wasubulal وَسُبُلًا
waEalAmAtiww وَعَلَامَاتٍ
wabinnaJmi وَبِالنَّجْمِ
kamal كَمَنْ
tusirrUna تُسِرُّونَ
tuElinUn تُعْلِنُونَ
yaxluqUna يَخْلُقُونَ
eamwAtun أَمْوَاتٌ
eaHyAAeiww أَحْيَاءٍ
yaXEurUna يَشْعُرُونَ
eilAhukum إِلَٰهُكُمْ
qulUbuhumm قُلُوبُهُمْ
muNkirotuww مُنْكِرَةٌ
mustakbirUn مُسْتَكْبِرُونَ
mustakbirIn الْمُسْتَكْبِرِينَ
liyaHmilUU لِيَحْمِلُوا
kAmilatayy كَامِلَةً
eWzAril أَوْزَارِ
yuMillUnahummm يُضِلُّونَهُمْ
faeataL فَأَتَى
bunyAnahumm بُنْيَانَهُمْ
qowAEidi الْقَوَاعِدِ
faxorro فَخَرَّ
EalYhimus عَلَيْهِمُ
saQfu السَّقْفُ
waeatAhumul وَأَتَاهُمُ
yuxzIhim يُخْزِيهِمْ
wayaqUlu وَيَقُولُ
XurokAAeiyal شُرَكَائِيَ
tuXAAAqqUna تُشَاقُّونَ
Eilma الْعِلْمَ
xizyal الْخِزْيَ
wassUUea وَالسُّوءَ
tatawaffAhumul تَتَوَفَّاهُمُ
faealqowus فَأَلْقَوُا
sUUeimmm سُوءٍ
faDxulUU فَادْخُلُوا
falabiesa فَلَبِئْسَ
mavwal مَثْوَى
mutakabbirIn الْمُتَكَبِّرِينَ
Hasanatuww حَسَنَةٌ
walaniEma وَلَنِعْمَ
yaXAAeUna يَشَاءُونَ
poyyibIna طَيِّبِينَ
EalYkumuD عَلَيْكُمُ
faeaSObahum فَأَصَابَهُمْ
sayyieAtu سَيِّئَاتُ
EabaDnA عَبَدْنَا
XYeinn شَيْءٍ
waJtanibUp وَاجْتَنِبُوا
EalYhiM عَلَيْهِ
taHriS تَحْرِصْ
yaBEavuL يَبْعَثُ
yamUtu يَمُوتُ
yaxtalifUna يَخْتَلِفُونَ
qClunA قَوْلُنَا
liXYein لِشَيْءٍ
earoDnAhu أَرَدْنَاهُ
naqUla نَقُولَ
ZulimU ظُلِمُوا
lanubawwieannahum لَنُبَوِّئَنَّهُمْ
fasealUU فَاسْأَلُوا
eahlac أَهْلَ
cikri الذِّكْرِ
eilYkac إِلَيْكَ
litubayyina لِتُبَيِّنَ
eafaeaminal أَفَأَمِنَ
makarUs مَكَرُوا
yaxsifaL يَخْسِفَ
yaetiyahumul يَأْتِيَهُمُ
yaexucahum يَأْخُذَهُمْ
taqollubihim تَقَلُّبِهِمْ
taxowwufiN تَخَوُّفٍ
XYeiyy شَيْءٍ
yatafayyaeu يَتَفَيَّأُ
ZilAluhU ظِلَالُهُ
yamIni الْيَمِينِ
waXXamAAeili وَالشَّمَائِلِ
sujjadal سُجَّدًا
dAxirUn دَاخِرُونَ
robbahumm رَبَّهُمْ
wayafEalUna وَيَفْعَلُونَ
yuemarUn يُؤْمَرُونَ
faeiyyAya فَإِيَّايَ
walahud وَلَهُ
wASiban وَاصِبًا
niEmatiN نِعْمَةٍ
massakumuM مَسَّكُمُ
faeilYhi فَإِلَيْهِ
taJearUn تَجْأَرُونَ
kaXafaM كَشَفَ
Murro الضُّرَّ
liyakfurU لِيَكْفُرُوا
eAtYnAhum آتَيْنَاهُمْ
fatamattaEU فَتَمَتَّعُوا
wayaJEalUna وَيَجْعَلُونَ
latusealunna لَتُسْأَلُنَّ
banAti الْبَنَاتِ
walahumm وَلَهُمْ
yaXtahUn يَشْتَهُونَ
buXXiro بُشِّرَ
eaHaduhummm أَحَدُهُمْ
Zolla ظَلَّ
waJhuhU وَجْهُهُ
muswaddaww مُسْوَدًّا
yatawArO يَتَوَارَىٰ
sUUei سُوءِ
eayumsikuhU أَيُمْسِكُهُ
hUnin هُونٍ
yadussuhU يَدُسُّهُ
turObi التُّرَابِ
mavalus مَثَلُ
mavalul الْمَثَلُ
eaElA الْأَعْلَىٰ
yueAxicuL يُؤَاخِذُ
biZulmihimm بِظُلْمِهِمْ
yakrohUna يَكْرَهُونَ
wataSifu وَتَصِفُ
ealsinatuhumul أَلْسِنَتُهُمُ
waeannahumm وَأَنَّهُمْ
mufropUn مُفْرَطُونَ
fazayyana فَزَيَّنَ
waliyyuhumul وَلِيُّهُمُ
mWtihAA مَوْتِهَا
laEiBrotann لَعِبْرَةً
nusqIkumm نُسْقِيكُمْ
bupUnihI بُطُونِهِ
farviww فَرْثٍ
wadamil وَدَمٍ
labanan لَبَنًا
xOliSoN خَالِصًا
sAAeigol سَائِغًا
lilXXAribIn لِلشَّارِبِينَ
vamarOtin ثَمَرَاتِ
naxIli النَّخِيلِ
waleaEnAbi وَالْأَعْنَابِ
sakaroww سَكَرًا
warizqon وَرِزْقًا
waeWHA وَأَوْحَىٰ
naHli النَّحْلِ
taxicI اتَّخِذِي
waminaX وَمِنَ
Xajari الشَّجَرِ
kulI كُلِي
faslukI فَاسْلُكِي
robbiki رَبِّكِ
cululayy ذُلُلًا
bupUnihA بُطُونِهَا
muxtalifun مُخْتَلِفٌ
ealwAnuhU أَلْوَانُهُ
XifAAeul شِفَاءٌ
earcalil أَرْذَلِ
Eumuri الْعُمُرِ
likY لِكَيْ
yaElama يَعْلَمَ
EalImuN عَلِيمٌ
faMMola فَضَّلَ
fIr فِي
famAl فَمَا
fuMMilU فُضِّلُوا
birOOOddI بِرَادِّي
rizqihim رِزْقِهِمْ
eYmAnuhum أَيْمَانُهُمْ
eafabiniEmatil أَفَبِنِعْمَةِ
eazwAjikummm أَزْوَاجِكُمْ
waHafadataww وَحَفَدَةً
eafabilbApili أَفَبِالْبَاطِلِ
wabiniEmatil وَبِنِعْمَتِ
rizqomm رِزْقًا
yastapIEUn يَسْتَطِيعُونَ
taMribU تَضْرِبُوا
Eabdamm عَبْدًا
mamlUkal مَمْلُوكًا
yaqdiru يَقْدِرُ
wamar وَمَنْ
rozaQnAhu رَزَقْنَاهُ
wajahron وَجَهْرًا
waMorobaL وَضَرَبَ
mavalar مَثَلًا
eaBkamu أَبْكَمُ
kallun كَلٌّ
mWlAhu مَوْلَاهُ
yuwajjihhhu يُوَجِّهْهُ
bixVrin بِخَيْرٍ
yastawI يَسْتَوِي
eamrus أَمْرُ
kalamHil كَلَمْحِ
baSori الْبَصَرِ
eaxrojakumm أَخْرَجَكُمْ
eummahAtikum أُمَّهَاتِكُمْ
lakumus لَكُمُ
waleafeidata وَالْأَفْئِدَةَ
musaxxorOtiN مُسَخَّرَاتٍ
jawwis جَوِّ
yumsikuhunna يُمْسِكُهُنَّ
julUdil جُلُودِ
tastaxiffUnahA تَسْتَخِفُّونَهَا
ZoEnikum ظَعْنِكُمْ
eiqOmatikum إِقَامَتِكُمْ
eaSwAfihA أَصْوَافِهَا
waeWbArihA وَأَوْبَارِهَا
waeaXEArihAA وَأَشْعَارِهَا
eavAvaww أَثَاثًا
wamatAEan وَمَتَاعًا
ZilAlaww ظِلَالًا
eaknAnaww أَكْنَانًا
sarObIla سَرَابِيلَ
taqIkumu تَقِيكُمُ
lHarro الْحَرَّ
wasarObIla وَسَرَابِيلَ
taqIkummm تَقِيكُمْ
baesakum بَأْسَكُمْ
yutimmu يُتِمُّ
tuslimUn تُسْلِمُونَ
yuNkirUnahA يُنْكِرُونَهَا
naBEavu نَبْعَثُ
XahIdaN شَهِيدًا
yuecanu يُؤْذَنُ
yustaEtabUn يُسْتَعْتَبُونَ
ZolamUl ظَلَمُوا
XurokAAeahum شُرَكَاءَهُمْ
XurokAAeunAl شُرَكَاؤُنَا
naDEU نَدْعُو
dUnika دُونِكَ
faealqC فَأَلْقَوْا
yWmaeiciNs يَوْمَئِذٍ
ziDnAhum زِدْنَاهُمْ
yufsidUn يُفْسِدُونَ
XahIdan شَهِيدًا
wanazzalnA وَنَزَّلْنَا
tiByAnal تِبْيَانًا
lilmuslimIn لِلْمُسْلِمِينَ
waleiHsAni وَالْإِحْسَانِ
waeItAAei وَإِيتَاءِ
wayanhA وَيَنْهَىٰ
faHXAAei الْفَحْشَاءِ
walmuNkari وَالْمُنْكَرِ
walbagyi وَالْبَغْيِ
yaEiZukum يَعِظُكُمْ
taNquMUl تَنْقُضُوا
tWkIdihA تَوْكِيدِهَا
jaEaltumuL جَعَلْتُمُ
kafIlan كَفِيلًا
tafEalUn تَفْعَلُونَ
kallatI كَالَّتِي
naqoMot نَقَضَتْ
gozlahA غَزْلَهَا
quwwatin قُوَّةٍ
eaNkAvaN أَنْكَاثًا
daxolammm دَخَلًا
eummatun أُمَّةٌ
earbA أَرْبَىٰ
yaBlUkumuL يَبْلُوكُمُ
walayubayyinanna وَلَيُبَيِّنَنَّ
walatusealunna وَلَتُسْأَلُنَّ
fatazilla فَتَزِلَّ
qodamummm قَدَمٌ
vubUtihA ثُبُوتِهَا
watacUqUs وَتَذُوقُوا
SodaDttum صَدَدْتُمْ
EiNdakum عِنْدَكُمْ
yaNfadu يَنْفَدُ
bAqiww بَاقٍ
walanaJziyannal وَلَنَجْزِيَنَّ
SobarUU صَبَرُوا
eaJrohummm أَجْرَهُمْ
bieaHsani بِأَحْسَنِ
falanuHyiyannahU فَلَنُحْيِيَنَّهُ
HayAtaN حَيَاةً
poyyibataww طَيِّبَةً
walanaJziyannahum وَلَنَجْزِيَنَّهُمْ
qoroetal قَرَأْتَ
sulpOnuhU سُلْطَانُهُ
yatawallWnahU يَتَوَلَّوْنَهُ
baddalnAA بَدَّلْنَا
eAyatamm آيَةً
eAyatiww آيَةٍ
yunazzilu يُنَزِّلُ
muftarimmm مُفْتَرٍ
rUHul رُوحُ
liyuvabbital لِيُثَبِّتَ
yuEallimuhU يُعَلِّمُهُ
baXarul بَشَرٌ
lisAnul لِسَانُ
eaEjamiyyuww أَعْجَمِيٌّ
lisAnun لِسَانٌ
Earobiyyumm عَرَبِيٌّ
yahdIhimuL يَهْدِيهِمُ
yaftarIl يَفْتَرِي
kAcibUn الْكَاذِبُونَ
eImAnihII إِيمَانِهِ
eukriha أُكْرِهَ
waqolbuhU وَقَلْبُهُ
muPmaeinnummm مُطْمَئِنٌّ
walAkimm وَلَٰكِنْ
XaroHa شَرَحَ
SoDroN صَدْرًا
faEalYhim فَعَلَيْهِمْ
bieannahumu بِأَنَّهُمُ
staHabbU اسْتَحَبُّوا
wasamEihim وَسَمْعِهِمْ
futinU فُتِنُوا
waSobarUU وَصَبَرُوا
taetI تَأْتِي
tujAdilu تُجَادِلُ
nafsihA نَفْسِهَا
watuwaffA وَتُوَفَّىٰ
qoryataN قَرْيَةً
eAminatamm آمِنَةً
muPmaeinnatayy مُطْمَئِنَّةً
yaetIhA يَأْتِيهَا
rogodamm رَغَدًا
makAniN مَكَانٍ
fakafarot فَكَفَرَتْ
bieanEumil بِأَنْعُمِ
faeacAqohAL فَأَذَاقَهَا
libAsal لِبَاسَ
jUEi الْجُوعِ
walxCfi وَالْخَوْفِ
faeaxocahumul فَأَخَذَهُمُ
taSifu تَصِفُ
ealsinatukumul أَلْسِنَتُكُمُ
HalAluww حَلَالٌ
HarOmul حَرَامٌ
litaftarU لِتَفْتَرُوا
qoSoSnA قَصَصْنَا
waeaSlaHUU وَأَصْلَحُوا
eummataN أُمَّةً
qOnital قَانِتًا
XAkirol شَاكِرًا
lieanEumihiJ لِأَنْعُمِهِ
tabAhu اجْتَبَاهُ
wahadAhu وَهَدَاهُ
waeAtYnAhu وَآتَيْنَاهُ
tabiE اتَّبِعْ
juEilas جُعِلَ
saBtu السَّبْتُ
layaHkumu لَيَحْكُمُ
euDEu ادْعُ
bilHikmati بِالْحِكْمَةِ
walmWEiZoti وَالْمَوْعِظَةِ
wajAdilhummm وَجَادِلْهُمْ
bimaN بِمَنْ
EAqoBtum عَاقَبْتُمْ
faEAqibU فَعَاقِبُوا
EUqiBtummm عُوقِبْتُمْ
lahuwa لَهُوَ
lilSSObirIn لِلصَّابِرِينَ
SoBruka صَبْرُكَ
MVqimm ضَيْقٍ
muHsinUn مُحْسِنُونَ
suBHAnal سُبْحَانَ
biEabdihI بِعَبْدِهِ
lYlamm لَيْلًا
masjidil الْمَسْجِدِ
eaQSOl الْأَقْصَى
linuriyahU لِنُرِيَهُ
eAyAtinAA آيَاتِنَا
baSIr الْبَصِيرُ
wajaEalnAhu وَجَعَلْنَاهُ
dUnI دُونِي
curriyyata ذُرِّيَّةَ
HamalnA حَمَلْنَا
EabdaN عَبْدًا
XakUrO شَكُورًا
latufsidunna لَتُفْسِدُنَّ
walataElunna وَلَتَعْلُنَّ
EuluwwaN عُلُوًّا
eUlAhumA أُولَاهُمَا
baesiN بَأْسٍ
XadIdiN شَدِيدٍ
fajAsU فَجَاسُوا
xilAlad خِلَالَ
diyAri الدِّيَارِ
waEdamm وَعْدًا
rodaDnA رَدَدْنَا
karrota الْكَرَّةَ
waeamdaDnAkummm وَأَمْدَدْنَاكُمْ
bieamwAliww بِأَمْوَالٍ
wabanIna وَبَنِينَ
wajaEalnAkum وَجَعَلْنَاكُمْ
nafIrO نَفِيرًا
eaHsaNtum أَحْسَنْتُمْ
easaetum أَسَأْتُمْ
waEdul وَعْدُ
liyasUUeU لِيَسُوءُوا
waliyaDxulUl وَلِيَدْخُلُوا
daxolUhu دَخَلُوهُ
waliyutabbirU وَلِيُتَبِّرُوا
EalW عَلَوْا
tatbIrO تَتْبِيرًا
yarHamakum يَرْحَمَكُمْ
EuDttum عُدْتُمْ
HaSIrO حَصِيرًا
lillatI لِلَّتِي
eaQwamu أَقْوَمُ
wayubaXXirul وَيُبَشِّرُ
mueminInal الْمُؤْمِنِينَ
yaEmalUnaS يَعْمَلُونَ
eaJroN أَجْرًا
waeannal وَأَنَّ
wayaDEul وَيَدْعُ
biXXarri بِالشَّرِّ
duEAAeahU دُعَاءَهُ
wakAnal وَكَانَ
EajUlA عَجُولًا
eAyatYni آيَتَيْنِ
famaHWnAA فَمَحَوْنَا
wajaEalnAA وَجَعَلْنَا
eAyatan آيَةَ
muBSirotal مُبْصِرَةً
litaBtagU لِتَبْتَغُوا
walitaElamU وَلِتَعْلَمُوا
wakulla وَكُلَّ
tafSIlA تَفْصِيلًا
eiNsAnin إِنْسَانٍ
ealzamnAhu أَلْزَمْنَاهُ
pOOeirohU طَائِرَهُ
EunuqihI عُنُقِهِ
wanuxriju وَنُخْرِجُ
kitAbayy كِتَابًا
yalqOhu يَلْقَاهُ
maNXUrO مَنْشُورًا
eiQroe اقْرَأْ
kitAbaka كِتَابَكَ
binafsikal بِنَفْسِكَ
muEaccibIna مُعَذِّبِينَ
naBEava نَبْعَثَ
rosUlA رَسُولًا
nuhlika نُهْلِكَ
qoryatan قَرْيَةً
eamarnA أَمَرْنَا
mutrofIhA مُتْرَفِيهَا
fafasaqU فَفَسَقُوا
faHaqqo فَحَقَّ
EalYhAl عَلَيْهَا
fadammarnAhA فَدَمَّرْنَاهَا
taDmIrO تَدْمِيرًا
wakam وَكَمْ
birobbika بِرَبِّكَ
bicunUbi بِذُنُوبِ
xobIrommm خَبِيرًا
EAjilata الْعَاجِلَةَ
EajjalnA عَجَّلْنَا
limann لِمَنْ
yaSlAhA يَصْلَاهَا
macmUmamm مَذْمُومًا
maDHUrO مَدْحُورًا
earOdal أَرَادَ
saEyahA سَعْيَهَا
saEyuhumm سَعْيُهُمْ
maXkUrO مَشْكُورًا
kullann كُلًّا
numiddu نُمِدُّ
wahAAeulAAei وَهَٰؤُلَاءِ
EapOOei عَطَاءِ
EapOOeu عَطَاءُ
maHZUrO مَحْظُورًا
walaleAxirotu وَلَلْآخِرَةُ
waeakbaru وَأَكْبَرُ
tafMIlA تَفْضِيلًا
taJEal تَجْعَلْ
fataQEuda فَتَقْعُدَ
maxcUlA مَخْذُولًا
waqoMO وَقَضَىٰ
eiHsAnan إِحْسَانًا
yaBlugonna يَبْلُغَنَّ
EiNdakal عِنْدَكَ
kibaro الْكِبَرَ
kilAhumA كِلَاهُمَا
taqul تَقُلْ
lahumAA لَهُمَا
euffiww أُفٍّ
tanharhumA تَنْهَرْهُمَا
janAHac جَنَاحَ
culli الذُّلِّ
waqurr وَقُلْ
rHamhumA ارْحَمْهُمَا
robbayAnI رَبَّيَانِي
SogIrO صَغِيرًا
nufUsikum نُفُوسِكُمْ
SOliHIna صَالِحِينَ
lileawwAbIna لِلْأَوَّابِينَ
waeAti وَآتِ
walmiskIna وَالْمِسْكِينَ
tubaccir تُبَذِّرْ
taBcIrO تَبْذِيرًا
mubaccirIna الْمُبَذِّرِينَ
eixwAnaX إِخْوَانَ
XayApIni الشَّيَاطِينِ
wakAnaX وَكَانَ
lirobbihI لِرَبِّهِ
kafUrO كَفُورًا
tuEriMonna تُعْرِضَنَّ
EanhumuB عَنْهُمُ
tarjUhA تَرْجُوهَا
mYsUrO مَيْسُورًا
maglUlatan مَغْلُولَةً
Eunuqika عُنُقِكَ
taBsuPhA تَبْسُطْهَا
baspi الْبَسْطِ
malUmamm مَلُومًا
maHsUrO مَحْسُورًا
biEibAdihI بِعِبَادِهِ
xoXyata خَشْيَةَ
narzuquhum نَرْزُقُهُمْ
qotlahum قَتْلَهُمْ
xiPeaN خِطْئًا
taQrobUz تَقْرَبُوا
zinAA الزِّنَا
qutila قُتِلَ
maZlUmaN مَظْلُومًا
liwaliyyihI لِوَلِيِّهِ
yusrif يُسْرِفْ
maNSUrO مَنْصُورًا
bilEahdi بِالْعَهْدِ
Eahda الْعَهْدَ
maseUlA مَسْئُولًا
kiltum كِلْتُمْ
wazinU وَزِنُوا
bilqispOsil بِالْقِسْطَاسِ
mustaqImi الْمُسْتَقِيمِ
taQfu تَقْفُ
einnas إِنَّ
walbaSoro وَالْبَصَرَ
walfueAda وَالْفُؤَادَ
tamXi تَمْشِ
maroHan مَرَحًا
taxriqol تَخْرِقَ
taBlugol تَبْلُغَ
pUlA طُولًا
sayyieuhU سَيِّئُهُ
makrUhA مَكْرُوهًا
eWHAA أَوْحَىٰ
lHikmati الْحِكْمَةِ
fatulqO فَتُلْقَىٰ
eafaeaSfAkum أَفَأَصْفَاكُمْ
bilbanIna بِالْبَنِينَ
einAvan إِنَاثًا
lataqUlUna لَتَقُولُونَ
SorrofnA صَرَّفْنَا
qureAni الْقُرْآنِ
liyaccakkarU لِيَذَّكَّرُوا
yazIduhum يَزِيدُهُمْ
nufUrO نُفُورًا
laBtagC لَابْتَغَوْا
tusabbiHu تُسَبِّحُ
lahus لَهُ
samAwAtus السَّمَاوَاتُ
saBEu السَّبْعُ
yusabbiHu يُسَبِّحُ
tafqohUna تَفْقَهُونَ
tasbIHahum تَسْبِيحَهُمْ
